Complexity,Loss,Equation
1,201.75655,"x1"
3,0.25325683,"x1 * x0"
5,0.24197665,"(x0 - -0.0364136) * x1"
7,0.23897268,"((x0 + 0.03655281) * x1) + 0.05481082"
9,0.22251505,"x1 * (x0 - (-0.047310513 / (x1 + -2.1481898)))"
11,0.2166706,"x1 * (x0 - (x1 * (-0.021768438 / (x1 + -2.1413853))))"
13,0.21635716,"((x0 - (x1 * (-0.020802338 / (x1 + -2.1409342)))) * x1) * 1.0011741"
15,0.20869918,"x1 * (x0 - (((x1 + (x0 * -0.32269987)) / (x1 + -2.5764704)) * -0.015943825))"
17,0.19515705,"(x1 * (x0 - (x1 * (-0.020802338 / (x1 + -2.1409342))))) - (0.046838883 / (x1 + -2.6441011))"
21,0.19029579,"(x0 - ((x1 * 0.04584226) / ((-0.11018682 / (x0 + (-0.278875 - x1))) + ((x1 + -2.142561) * -2.1266375)))) * x1"
25,0.1886923,"(x1 - 0.0070191002) * (x0 - (x1 * ((0.043713152 / (-2.3802044 * ((x1 + -2.0206373) + ((0.2276958 / x0) / (x1 + -2.7729404))))) + -0.0068676607)))"
27,0.1880719,"((x0 - (((0.043713152 / ((((0.2276958 / x0) / (x1 + -2.7729404)) + (x1 + -2.0206373)) * -2.3802044)) + -0.0068676607) * x1)) * (x1 - 0.0070191002)) * 1.001016"
29,0.18795472,"(x0 - ((x1 - 0.2276958) * ((0.043713152 / ((((0.2276958 / x0) / (x1 + -2.7729404)) + (x1 + -2.0206373)) * -2.1405058)) + -0.0068676607))) * ((x1 - 0.0072528715) * 1.001016)"
