Complexity,Loss,Equation
1,1132.1476,"x0"
3,1119.2238,"x0 / 1.0003961"
5,1117.9196,"(x0 + 1.450115) * 0.9995141"
7,1090.7781,"((x0 * -9.685676e-8) + 1.0014714) * x0"
9,531.2795,"x0 + (1.5864469 / ((x0 * -4.7480113e-5) + 1.1447684))"
11,530.4514,"(1.4919573 / ((x0 * -4.7460577e-5) + 1.1448163)) + (x0 - 0.26497304)"
13,528.20544,"x0 + ((1.5864469 / ((x0 * -4.7480113e-5) + 1.1448165)) - (x0 * -5.4599364e-5))"
15,519.4046,"x0 + ((1.5864469 / ((x0 * -4.7466758e-5) + 1.1448164)) - ((x0 * -5.477049e-5) / 0.1748613))"
17,513.7405,"(x0 + (((x0 + x0) * 0.00024341106) - (-1.5864645 / ((x0 * -4.7459533e-5) + 1.1448163)))) - 1.3932766"
21,512.8375,"((x0 - ((-1.5864645 / ((x0 * -4.7458965e-5) + 1.1448162)) - -1.5993661)) + (((x0 + 5.462184e-5) * -4.847186e-5) / -0.10181185)) - 0.88176996"
23,512.141,"((((x0 + x0) + x0) * -4.838248e-5) / -0.27943107) + ((x0 - ((-1.5864645 / ((x0 * -4.745883e-5) + 1.1448162)) - -1.7020739)) + -1.1729865)"
