Complexity,Loss,Equation
1,1132.1476,"x0"
3,1118.1266,"x0 ^ 0.99995536"
5,1117.9221,"(x0 * 0.9995156) + 1.427413"
7,1110.0894,"x0 - ((x0 ^ 1.7552441) / 3.3090272e6)"
9,1017.2861,"x0 + (-0.08311298 / (-0.42138034 + (x0 ^ -0.08513487)))"
11,1008.5175,"((-0.08513487 / ((x0 ^ -0.08513487) + -0.42138034)) + x0) + 2.989371"
13,1000.13055,"(x0 + (-0.08513487 / ((x0 ^ -0.08513487) + -0.42138034))) + (x0 ^ 0.18820797)"
15,993.4607,"(x0 + (-0.08513487 / (((x0 * 1.006655) ^ -0.08513487) + -0.42138034))) + (x0 ^ 0.22245464)"
17,986.20514,"(-0.08513487 / (((x0 * 1.006655) ^ -0.085134864) + -0.42138034)) + (((x0 ^ 0.2577374) + -2.806747) + x0)"
19,985.51697,"(x0 ^ 0.2577374) + ((((-0.08853189 / (((x0 * 1.006655) ^ -0.085134864) + -0.42138034)) - 0.16159439) + x0) + -3.2831893)"
21,985.40594,"((x0 + 2.5812747) ^ 0.2577374) + ((x0 + -2.2707036) + ((-0.08853189 / (((x0 * 1.006655) ^ -0.085134864) + -0.42138034)) + -1.1127719))"
23,984.93085,"(-0.08513487 / (((x0 * 1.006655) ^ -0.085134864) + -0.42138034)) + (((((x0 * 0.10690011) ^ -0.5065152) + (x0 ^ 0.2577374)) + x0) + -4.0664444)"
25,984.9189,"((-0.08513487 / (((x0 * 1.006655) ^ -0.085134864) + -0.42138034)) + ((x0 + (((x0 * 0.10690011) ^ -0.5065152) + -2.6329947)) + -1.4037352)) + (x0 ^ 0.2577374)"
